id;name;images;tags;active;quantity;category;商品编号：;价格：;品牌：;重量：;评价：;购买数量：;商品总价：;na;产地：;促销价:;剩余时间：;
100;日本悠哈味觉糖-咖啡牛乳糖;http://www.chishenghuo.com/eimages/201409/goods_img/100_P_1411661421175.jpg;日本悠哈味觉糖-咖啡牛乳糖,巧克力,润喉糖,味觉糖,糖果,软糖,巧克力,休闲零食;1;100;甜点零食;NI-5313;2.98;UHA悠哈;80; (已有0人评论);减少数量 增加数量;;na;;;;
1000;嘉顿芝麻薄饼盒装;http://www.chishenghuo.com/eimages/201410/goods_img/1000_P_1414615147616.jpg;嘉顿芝麻薄饼盒装,饼干,曲奇,威化,饼干,糕点,甜品,休闲零食;1;100;甜点零食;YL-9455;2.59;嘉顿;225; (已有0人评论);减少数量 增加数量;;na;中华;;;
1002;台湾小磨坊 四物汤 3-4人份;http://www.chishenghuo.com/eimages/201410/goods_img/1002_P_1414617443732.jpg;台湾小磨坊,四物汤,3-4人份,五谷杂粮,干货,汤包,海味,调味,养生,休闲零食;1;100;酱菜干货;YL-1182;3.59;小磨坊;50; (已有0人评论);减少数量 增加数量;;na;中华;$2.99;请稍等, 正在载入中...;
1005;澳门香香 粒粒杏仁饼铁罐;http://www.chishenghuo.com/eimages/201411/goods_img/1005_P_1416424699323.jpg;澳门香香,粒粒杏仁饼铁罐,蛋卷,杏仁饼,方块酥,饼干,糕点,甜品,休闲零食;1;100;甜点零食;EYM001005;11.50;香香食品;500; (已有0人评论);减少数量 增加数量;;na;中华;;;
1006;台湾御珍尝 冲绳角切原味黑糖;http://www.chishenghuo.com/eimages/201410/goods_img/1006_P_1414624244420.jpg;台湾御珍尝,冲绳角切原味黑糖,巧克力,润喉糖,味觉糖,糖果,软糖,巧克力,休闲零食;1;100;甜点零食;YL-0048;5.59;ROYAL TASTE御珍尝;180; (已有0人评论);减少数量 增加数量;;na;中华;;;
